,"LATITUDE",,"LONGITUDE",,"10,2141871858","22,6078228947","16,9398861703","15,8754718179","697,2426572412","343,17573225"
"{ lat: ","-4,2833",", lng:","29,8333","},",,,,,"185,7765506857","45,7906257577"
"{ lat: ","-3,4158",", lng:","29,3747","},",,,,,"172,367678738","55,0189666071"
"{ lat: ","-2,9147",", lng:","30,0253","},",,,,,"185,7765506857","45,7906257577"
"{ lat: ","-3,4158",", lng:","29,3747","},",,,,,"205,592214778","50,7197091371"
"{ lat: ","-4,1243",", lng:","29,7296","},",,,,,"164,5708531869","61,3337565873"
"{ lat: ","-2,61433",", lng:","30,43941","},",,,,,"171,4760704094","45,2697128052"
"{ lat: ","-2,8807",", lng:","29,3361","},",,,,,"164,5708531869","61,3337565873"
"{ lat: ","-2,61433",", lng:","30,43941","},",,,,,"174,8844164405","57,9696018086"
"{ lat: ","-3,0102",", lng:","30,2216","},",,,,,"180,4397715796","63,1226612032"
"{ lat: ","-3,2186",", lng:","30,5528","},",,,,,"165,2147035435","58,2440217844"
"{ lat: ","-2,6394",", lng:","30,2396","},",,,,,"184,7258056349","45,5648909524"
"{ lat: ","-3,3772",", lng:","29,358","},",,,,,"182,0795938688","44,5673351246"
"{ lat: ","-3,2795",", lng:","29,2837","},",,,,,"184,0658547077","45,7324491046"
"{ lat: ","-3,3529",", lng:","29,3704","},",,,,,"180,4397715796","63,1226612032"
"{ lat: ","-3,2186",", lng:","30,5528","},",,,,,"175,1701798437","51,2380678449"
"{ lat: ","-3,021",", lng:","29,7659","},",,,,,"172,5620410284","49,3011407397"
"{ lat: ","-2,9221",", lng:","29,6293","},",,,,,"176,3793082751","62,5503370662"
"{ lat: ","-3,0666",", lng:","30,5167","},",,,,,"192,4403517659","59,8283238335"
"{ lat: ","-3,6581",", lng:","30,3427","},",,,,,"205,8934332589","51,7849649303"
"{ lat: ","-4,1348",", lng:","29,804","},",,,,,"188,3884494691","50,3463629911"
"{ lat: ","-3,51128",", lng:","29,70334","},",,,,,"189,7833333788","58,8438897495"
"{ lat: ","-3,562",", lng:","30,2788","},",,,,,"211,2077165433","52,3868649909"
